talk_id,public_url,speaker_name,headline,description,date given,event,duration,primary_language,published,tags,
19,https://www.ted.com/talks/kevin_kelly_on_how_technology_evolves,Kevin Kelly,How technology evolves,"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.",February-05,TED2005,0:20:00,en,11/14/06,"culture,philosophy,evolution,choice,history,science,technology,future",
38,https://www.ted.com/talks/ray_kurzweil_on_how_technology_will_transform_us,Ray Kurzweil,The accelerating power of technology,"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.",February-05,TED2005,0:22:56,en,11/14/06,"TED Brain Trust,culture,biotech,business,invention,science,technology,robots,future",
23,https://www.ted.com/talks/peter_gabriel_fights_injustice_with_video,Peter Gabriel,Fight injustice with raw video,Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.,February-06,TED2006,0:14:08,en,12/6/06,"TED Brain Trust,music,culture,film,storytelling,art,global issues,collaboration,social change,activism",
10,https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet,Dean Ornish,The killer American diet that's sweeping the planet,Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it's mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,February-06,TED2006,0:03:18,en,12/14/06,"disease,obesity,culture,health care,food,health,global issues,science",
26,https://www.ted.com/talks/rives_controls_the_internet,Rives,If I controlled the Internet,"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.",November-05,TEDSalon 2006,0:04:07,en,12/14/06,"entertainment,culture,philosophy,poetry,love,performance",
70,https://www.ted.com/talks/richard_st_john_s_8_secrets_of_success,Richard St. John,8 secrets of success,Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,February-05,TED2005,0:03:30,en,12/14/06,"success,entertainment,culture,psychology,happiness,business,work,education",
36,https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities,Robert Neuwirth,The hidden world of shadow cities,"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.",July-05,TEDGlobal 2005,0:14:03,en,1/2/07,"global development,culture,poverty,entrepreneur,business,policy,politics,cities,global issues,future,social change",
62,https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities,Bjorn Lomborg,Global priorities bigger than climate change,"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.",February-05,TED2005,0:16:41,en,1/2/07,"disaster relief,culture,choice,AIDS,economics,business,Africa,climate change,environment,future",
34,https://www.ted.com/talks/phil_borges_on_endangered_cultures,Phil Borges,Photos of endangered cultures,"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.",February-06,TED2006,0:18:35,en,1/9/07,"photography,culture,film,storytelling,art,design,global issues,education,social change,activism",
69,https://www.ted.com/talks/wade_davis_on_endangered_cultures,Wade Davis,Dreams from endangered cultures,"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.",February-03,TED2003,0:22:01,en,1/9/07,"photography,culture,film,anthropology,language,environment,global issues",
42,https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century,Martin Rees,Is this our final century?,"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.",July-05,TEDGlobal 2005,0:17:26,en,1/17/07,"complexity,cosmos,time,astronomy,climate change,science,technology,universe,leadership,social change",
68,https://www.ted.com/talks/robert_wright_on_optimism,Robert Wright,Progress is not a zero-sum game,"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.",February-06,TED2006,0:19:11,en,1/17/07,"culture,global issues,war,collaboration",
61,https://www.ted.com/talks/steven_johnson_tours_the_ghost_map,Steven Johnson,"How the ""ghost map"" helped end a killer disease","Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.",November-05,TEDSalon 2006,0:10:03,en,1/31/07,"map,disease,culture,urban planning,history,cities,design,health,science",
63,https://www.ted.com/talks/charles_leadbeater_on_innovation,Charles Leadbeater,The era of open innovation,"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.",July-05,TEDGlobal 2005,0:19:01,en,1/31/07,"open-source,culture,media,economics,business,invention,product design,innovation,collaboration",
24,https://www.ted.com/talks/pilobolus_perform_symbiosis,Pilobolus,"A dance of ""Symbiosis""","Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee.",February-05,TED2005,0:13:45,en,2/9/07,"science and art,dance,entertainment,nature,science,performance",
60,https://www.ted.com/talks/anna_deavere_smith_s_american_character,Anna Deavere Smith,Four American characters,"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character.""",February-05,TED2005,0:23:05,en,2/9/07,"theater,sports,entertainment,culture,interview,race,storytelling,history,performance art,MacArthur grant,performance,United States",
48,https://www.ted.com/talks/saul_griffith_on_everyday_inventions,Saul Griffith,Everyday inventions,"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads.",February-06,TED2006,0:14:29,en,2/19/07,"open-source,MacArthur grant,materials,design,invention,product design,technology,innovation,collaboration",
90,https://www.ted.com/talks/neil_gershenfeld_on_fab_labs,Neil Gershenfeld,Unleash your creativity in a Fab Lab,MIT professor Neil Gershenfeld talks about his Fab Lab -- a low-cost lab that lets people build things they need using digital and analog tools. It's a simple idea with powerful results.,February-06,TED2006,0:17:18,en,2/19/07,"culture,code,computers,materials,invention,science,technology,engineering,education,social change",
73,https://www.ted.com/talks/carl_honore_praises_slowness,Carl Honor̩,In praise of slowness,"Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives.",July-05,TEDGlobal 2005,0:19:15,en,2/28/07,"culture,choice,psychology,happiness,health,potential,personal growth,work-life balance,parenting",
83,https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth,E.O. Wilson,My wish: Build the Encyclopedia of Life,"As E.O. Wilson accepts his 2007 TED Prize, he makes a plea on behalf of all creatures that we learn more about our biosphere -- and build a networked encyclopedia of all the world's knowledge about life.",March-07,TED2007,0:22:35,en,4/3/07,"ants,insects,ecology,biology,biodiversity,nature,global issues,TED Prize,science,technology",
84,https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war,James Nachtwey,My wish: Let my photographs bear witness,"Accepting his 2007 TED Prize, war photographer James Nachtwey shows his life's work and asks TED to help him continue telling the story with innovative, exciting uses of news photography in the digital era.",March-07,TED2007,0:21:56,en,4/3/07,"photography,culture,poverty,media,storytelling,art,global issues,war,social change,activism",
85,https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda,Bill Clinton,My wish: Rebuilding Rwanda,"Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.",March-07,TED2007,0:24:07,en,4/3/07,"culture,health care,economics,business,Africa,global issues,TED Prize,technology",
5,https://www.ted.com/talks/chris_bangle_says_great_cars_are_art,Chris Bangle,Great cars are great art,"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.",February-02,TED2002,0:20:04,en,4/5/07,"cars,transportation,industrial design,business,art,design,invention,technology",
6,https://www.ted.com/talks/craig_venter_on_dna_and_the_sea,Craig Venter,Sampling the ocean's DNA,Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.,July-05,TEDGlobal 2005,0:16:51,en,4/5/07,"ecology,entrepreneur,DNA,biotech,genetics,oceans,biology,biodiversity,invention,science,technology",
9,https://www.ted.com/talks/dean_kamen_on_inventing_and_giving,Dean Kamen,To invent is to give,Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).,February-02,TED2002,0:20:07,en,4/5/07,"sustainability,cars,transportation,industrial design,business,invention,science,technology,innovation,robots,education,social change",
11,https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes,Jane Goodall,What separates us from chimpanzees?,"Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.",February-03,TED2002,0:27:25,en,4/5/07,"primates,culture,Africa,animals,environment,nature,global issues,science",
14,https://www.ted.com/talks/golan_levin_on_software_as_art,Golan Levin,Software (as) art,"Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions.",February-04,TED2004,0:14:53,en,4/5/07,"entertainment,music,software,art,invention,technology,performance",
18,https://www.ted.com/talks/janine_benyus_shares_nature_s_designs,Janine Benyus,Biomimicry's surprising lessons from nature's engineers,"In this inspiring talk about recent developments in biomimicry, Janine Benyus provides heartening examples of ways in which nature is already influencing the products and systems we build.",February-05,TED2005,0:23:19,en,4/5/07,"biomimicry,fish,evolution,DNA,biology,animals,environment,design,science,technology",
28,https://www.ted.com/talks/seth_godin_on_sliced_bread,Seth Godin,How to get your ideas to spread,"In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones.",February-03,TED2003,0:17:01,en,4/5/07,"TED Brain Trust,marketing,culture,choice,business,storytelling",
31,https://www.ted.com/talks/thom_mayne_on_architecture_as_connection,Thom Mayne,How architecture can connect us,"Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form.",February-05,TED2005,0:20:40,en,4/5/07,"culture,architecture,cities,design,invention",
32,https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar,Vik Muniz,"Art with wire, sugar, chocolate and string","Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images.",February-03,TED2003,0:14:51,en,4/5/07,"Brazil,illusion,art,design,creativity,animation",
35,https://www.ted.com/talks/james_watson_on_how_he_discovered_dna,James Watson,How we discovered DNA,"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.",February-05,TED2005,0:20:11,en,4/5/07,"culture,DNA,genetics,storytelling,history,invention,science,technology",
40,https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos,Frans Lanting,The story of life in photographs,"In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.",February-05,TED2005,0:16:17,en,4/5/07,"fish,photography,evolution,storytelling,animals,art,nature,design",
